protein1 protein2 combined_score
208964.PA0005 208964.PA0544 234
208964.PA0544 208964.PA0005 234
208964.PA0005 208964.PA0581 402
208964.PA0581 208964.PA0005 402
208964.PA0005 208964.PA0810 232
208964.PA0810 208964.PA0005 232
208964.PA0005 208964.PA0844 234
208964.PA0844 208964.PA0005 234
208964.PA0005 208964.PA1589 247
208964.PA1589 208964.PA0005 247
208964.PA0005 208964.PA1614 576
208964.PA1614 208964.PA0005 576
208964.PA0005 208964.PA1907 323
208964.PA1907 208964.PA0005 323
208964.PA0005 208964.PA2502 234
208964.PA2502 208964.PA0005 234
208964.PA0005 208964.PA2536 407
208964.PA2536 208964.PA0005 407
208964.PA0005 208964.PA2541 223
208964.PA2541 208964.PA0005 223
208964.PA0005 208964.PA2584 223
208964.PA2584 208964.PA0005 223
208964.PA0005 208964.PA2626 261
208964.PA2626 208964.PA0005 261
208964.PA0005 208964.PA3023 792
208964.PA3023 208964.PA0005 792
208964.PA0005 208964.PA3025 946
208964.PA3025 208964.PA0005 946
208964.PA0005 208964.PA3166 253
208964.PA3166 208964.PA0005 253
208964.PA0005 208964.PA3319 234
208964.PA3319 208964.PA0005 234
208964.PA0005 208964.PA3530 408
208964.PA3530 208964.PA0005 408
208964.PA0005 208964.PA3584 946
208964.PA3584 208964.PA0005 946
208964.PA0005 208964.PA3651 581
208964.PA3651 208964.PA0005 581
208964.PA0005 208964.PA3673 923
208964.PA3673 208964.PA0005 923
208964.PA0005 208964.PA3859 323
208964.PA3859 208964.PA0005 323
208964.PA0005 208964.PA3929 205
208964.PA3929 208964.PA0005 205
208964.PA0005 208964.PA4078 259
208964.PA4078 208964.PA0005 259
208964.PA0005 208964.PA4149 221
208964.PA4149 208964.PA0005 221
208964.PA0005 208964.PA4489 237
208964.PA4489 208964.PA0005 237
208964.PA0005 208964.PA4636 228
208964.PA4636 208964.PA0005 228
208964.PA0005 208964.PA4969 234
208964.PA4969 208964.PA0005 234
208964.PA0005 208964.PA5281 232
208964.PA5281 208964.PA0005 232
208964.PA0005 208964.PA5353 922
208964.PA5353 208964.PA0005 922
208964.PA0006 208964.PA0017 239
208964.PA0017 208964.PA0006 239
208964.PA0006 208964.PA0905 207
208964.PA0905 208964.PA0006 207
208964.PA0006 208964.PA1973 168
208964.PA1973 208964.PA0006 168
208964.PA0006 208964.PA2138 971
208964.PA2138 208964.PA0006 971
208964.PA0006 208964.PA2742 362
208964.PA2742 208964.PA0006 362
208964.PA0006 208964.PA3495 702
208964.PA3495 208964.PA0006 702
208964.PA0006 208964.PA3614 714
208964.PA3614 208964.PA0006 714
208964.PA0006 208964.PA3651 234
208964.PA3651 208964.PA0006 234
208964.PA0006 208964.PA3823 257
208964.PA3823 208964.PA0006 257
208964.PA0006 208964.PA4269 163
208964.PA4269 208964.PA0006 163
208964.PA0006 208964.PA4416 473
208964.PA4416 208964.PA0006 473
208964.PA0006 208964.PA4429 512
208964.PA4429 208964.PA0006 512
208964.PA0006 208964.PA4741 210
208964.PA4741 208964.PA0006 210
208964.PA0006 208964.PA4937 211
208964.PA4937 208964.PA0006 211
208964.PA0006 208964.PA5242 362
208964.PA5242 208964.PA0006 362
208964.PA0006 208964.PA5278 239
208964.PA5278 208964.PA0006 239
208964.PA0006 208964.PA5567 198
208964.PA5567 208964.PA0006 198
208964.PA0008 208964.PA0009 979
208964.PA0009 208964.PA0008 979
208964.PA0008 208964.PA1949 171
208964.PA1949 208964.PA0008 171
208964.PA0008 208964.PA2259 171
208964.PA2259 208964.PA0008 171
208964.PA0008 208964.PA2320 171
208964.PA2320 208964.PA0008 171
208964.PA0008 208964.PA3168 216
208964.PA3168 208964.PA0008 216
208964.PA0008 208964.PA3563 171
208964.PA3563 208964.PA0008 171
208964.PA0008 208964.PA4057 189
208964.PA4057 208964.PA0008 189
208964.PA0008 208964.PA4760 200
208964.PA4760 208964.PA0008 200
208964.PA0008 208964.PA5153 186
208964.PA5153 208964.PA0008 186
208964.PA0009 208964.PA0310 163
208964.PA0310 208964.PA0009 163
208964.PA0009 208964.PA0546 216
208964.PA0546 208964.PA0009 216
208964.PA0009 208964.PA1491 198
208964.PA1491 208964.PA0009 198
208964.PA0009 208964.PA1675 209
208964.PA1675 208964.PA0009 209
208964.PA0009 208964.PA1886 208
208964.PA1886 208964.PA0009 208
208964.PA0009 208964.PA1894 163
208964.PA1894 208964.PA0009 163
208964.PA0009 208964.PA2382 231
208964.PA2382 208964.PA0009 231
208964.PA0009 208964.PA4760 199
208964.PA4760 208964.PA0009 199
208964.PA0009 208964.PA4771 231
208964.PA4771 208964.PA0009 231
208964.PA0009 208964.PA5321 393
208964.PA5321 208964.PA0009 393
208964.PA0010 208964.PA0025 199
208964.PA0025 208964.PA0010 199
208964.PA0010 208964.PA1773 198
208964.PA1773 208964.PA0010 198
208964.PA0010 208964.PA2275 403
208964.PA2275 208964.PA0010 403
208964.PA0010 208964.PA2350 174
208964.PA2350 208964.PA0010 174
208964.PA0010 208964.PA2612 189
208964.PA2612 208964.PA0010 189
208964.PA0010 208964.PA3525 207
208964.PA3525 208964.PA0010 207
208964.PA0010 208964.PA5206 175
208964.PA5206 208964.PA0010 175
208964.PA0010 208964.PA5390 175
208964.PA5390 208964.PA0010 175
208964.PA0010 208964.PA5503 174
208964.PA5503 208964.PA0010 174
208964.PA0016 208964.PA0317 172
208964.PA0317 208964.PA0016 172
208964.PA0016 208964.PA0577 178
208964.PA0577 208964.PA0016 178
208964.PA0016 208964.PA1082 259
208964.PA1082 208964.PA0016 259
208964.PA0016 208964.PA1086 180
208964.PA1086 208964.PA0016 180
208964.PA0016 208964.PA1416 172
208964.PA1416 208964.PA0016 172
208964.PA0016 208964.PA1798 157
208964.PA1798 208964.PA0016 157
208964.PA0016 208964.PA2788 157
208964.PA2788 208964.PA0016 157
208964.PA0016 208964.PA3157 344
208964.PA3157 208964.PA0016 344
208964.PA0016 208964.PA3210 961
208964.PA3210 208964.PA0016 961
208964.PA0016 208964.PA3878 157
208964.PA3878 208964.PA0016 157
208964.PA0016 208964.PA4338 344
208964.PA4338 208964.PA0016 344
208964.PA0016 208964.PA4464 411
208964.PA4464 208964.PA0016 411
208964.PA0016 208964.PA5124 199
208964.PA5124 208964.PA0016 199
208964.PA0016 208964.PA5201 182
208964.PA5201 208964.PA0016 182
208964.PA0016 208964.PA5238 344
208964.PA5238 208964.PA0016 344
208964.PA0016 208964.PA5272 198
208964.PA5272 208964.PA0016 198
208964.PA0016 208964.PA5355 172
208964.PA5355 208964.PA0016 172
208964.PA0016 208964.PA5458 344
208964.PA5458 208964.PA0016 344
208964.PA0017 208964.PA0286 160
208964.PA0286 208964.PA0017 160
208964.PA0017 208964.PA0382 418
208964.PA0382 208964.PA0017 418
208964.PA0017 208964.PA0428 355
208964.PA0428 208964.PA0017 355
208964.PA0017 208964.PA0455 355
208964.PA0455 208964.PA0017 355
208964.PA0017 208964.PA0530 169
208964.PA0530 208964.PA0017 169
208964.PA0017 208964.PA0555 812
208964.PA0555 208964.PA0017 812
208964.PA0017 208964.PA0580 185
208964.PA0580 208964.PA0017 185
208964.PA0017 208964.PA0592 662
208964.PA0592 208964.PA0017 662
208964.PA0017 208964.PA0607 165
208964.PA0607 208964.PA0017 165
208964.PA0017 208964.PA0657 724
208964.PA0657 208964.PA0017 724
208964.PA0017 208964.PA0895 169
208964.PA0895 208964.PA0017 169
208964.PA0017 208964.PA0903 256
208964.PA0903 208964.PA0017 256
208964.PA0017 208964.PA1017 176
208964.PA1017 208964.PA0017 176
208964.PA0017 208964.PA1139 481
208964.PA1139 208964.PA0017 481
208964.PA0017 208964.PA1425 417
208964.PA1425 208964.PA0017 417
208964.PA0017 208964.PA1496 856
208964.PA1496 208964.PA0017 856
208964.PA0017 208964.PA1964 417
208964.PA1964 208964.PA0017 417
208964.PA0017 208964.PA2071 160
208964.PA2071 208964.PA0017 160
208964.PA0017 208964.PA2103 161
208964.PA2103 208964.PA0017 161
208964.PA0017 208964.PA2138 187
208964.PA2138 208964.PA0017 187
208964.PA0017 208964.PA2244 222
208964.PA2244 208964.PA0017 222
208964.PA0017 208964.PA2247 495
208964.PA2247 208964.PA0017 495
208964.PA0017 208964.PA2248 495
208964.PA2248 208964.PA0017 495
208964.PA0017 208964.PA2268 163
208964.PA2268 208964.PA0017 163
208964.PA0017 208964.PA2539 842
208964.PA2539 208964.PA0017 842
208964.PA0017 208964.PA2748 576
208964.PA2748 208964.PA0017 576
208964.PA0017 208964.PA2840 355
208964.PA2840 208964.PA0017 355
208964.PA0017 208964.PA3011 161
208964.PA3011 208964.PA0017 161
208964.PA0017 208964.PA3019 417
208964.PA3019 208964.PA0017 417
208964.PA0017 208964.PA3025 181
208964.PA3025 208964.PA0017 181
208964.PA0017 208964.PA3162 434
208964.PA3162 208964.PA0017 434
208964.PA0017 208964.PA3243 206
208964.PA3243 208964.PA0017 206
208964.PA0017 208964.PA3297 270
208964.PA3297 208964.PA0017 270
208964.PA0017 208964.PA3344 150
208964.PA3344 208964.PA0017 150
208964.PA0017 208964.PA3416 495
208964.PA3416 208964.PA0017 495
208964.PA0017 208964.PA3417 495
208964.PA3417 208964.PA0017 495
208964.PA0017 208964.PA3466 355
208964.PA3466 208964.PA0017 355
208964.PA0017 208964.PA3584 181
208964.PA3584 208964.PA0017 181
208964.PA0017 208964.PA3626 160
208964.PA3626 208964.PA0017 160
208964.PA0017 208964.PA3629 237
208964.PA3629 208964.PA0017 237
208964.PA0017 208964.PA3637 163
208964.PA3637 208964.PA0017 163
208964.PA0017 208964.PA3652 631
208964.PA3652 208964.PA0017 631
208964.PA0017 208964.PA3657 576
208964.PA3657 208964.PA0017 576
208964.PA0017 208964.PA3770 196
208964.PA3770 208964.PA0017 196
208964.PA0017 208964.PA3802 167
208964.PA3802 208964.PA0017 167
208964.PA0017 208964.PA3823 199
208964.PA3823 208964.PA0017 199
208964.PA0017 208964.PA3861 355
208964.PA3861 208964.PA0017 355
208964.PA0017 208964.PA3950 355
208964.PA3950 208964.PA0017 355
208964.PA0017 208964.PA3961 270
208964.PA3961 208964.PA0017 270
208964.PA0017 208964.PA4043 407
208964.PA4043 208964.PA0017 407
208964.PA0017 208964.PA4052 197
208964.PA4052 208964.PA0017 197
208964.PA0017 208964.PA4150 495
208964.PA4150 208964.PA0017 495
208964.PA0017 208964.PA4151 495
208964.PA4151 208964.PA0017 495
208964.PA0017 208964.PA4237 194
208964.PA4237 208964.PA0017 194
208964.PA0017 208964.PA4238 160
208964.PA4238 208964.PA0017 160
208964.PA0017 208964.PA4239 503
208964.PA4239 208964.PA0017 503
208964.PA0017 208964.PA4244 876
208964.PA4244 208964.PA0017 876
208964.PA0017 208964.PA4245 865
208964.PA4245 208964.PA0017 865
208964.PA0017 208964.PA4246 222
208964.PA4246 208964.PA0017 222
208964.PA0017 208964.PA4247 394
208964.PA4247 208964.PA0017 394
208964.PA0017 208964.PA4248 421
208964.PA4248 208964.PA0017 421
208964.PA0017 208964.PA4249 209
208964.PA4249 208964.PA0017 209
208964.PA0017 208964.PA4251 406
208964.PA4251 208964.PA0017 406
208964.PA0017 208964.PA4252 426
208964.PA4252 208964.PA0017 426
208964.PA0017 208964.PA4253 441
208964.PA4253 208964.PA0017 441
208964.PA0017 208964.PA4255 856
208964.PA4255 208964.PA0017 856
208964.PA0017 208964.PA4258 854
208964.PA4258 208964.PA0017 854
208964.PA0017 208964.PA4260 805
208964.PA4260 208964.PA0017 805
208964.PA0017 208964.PA4261 881
208964.PA4261 208964.PA0017 881
208964.PA0017 208964.PA4262 438
208964.PA4262 208964.PA0017 438
208964.PA0017 208964.PA4263 876
208964.PA4263 208964.PA0017 876
208964.PA0017 208964.PA4266 160
208964.PA4266 208964.PA0017 160
208964.PA0017 208964.PA4267 487
208964.PA4267 208964.PA0017 487
208964.PA0017 208964.PA4269 390
208964.PA4269 208964.PA0017 390
208964.PA0017 208964.PA4270 235
208964.PA4270 208964.PA0017 235
208964.PA0017 208964.PA4272 865
208964.PA4272 208964.PA0017 865
208964.PA0017 208964.PA4273 831
208964.PA4273 208964.PA0017 831
208964.PA0017 208964.PA4274 793
208964.PA4274 208964.PA0017 793
208964.PA0017 208964.PA4376 164
208964.PA4376 208964.PA0017 164
208964.PA0017 208964.PA4385 374
208964.PA4385 208964.PA0017 374
208964.PA0017 208964.PA4433 421
208964.PA4433 208964.PA0017 421
208964.PA0017 208964.PA4569 407
208964.PA4569 208964.PA0017 407
208964.PA0017 208964.PA4585 401
208964.PA4585 208964.PA0017 401
