protein1 protein2 experimental database textmining combined_score
1028307.EAE_00365 1028307.EAE_04120 219 0 0 219
1028307.EAE_00365 1028307.EAE_09700 196 0 54 206
1028307.EAE_00365 1028307.EAE_19730 196 0 54 206
1028307.EAE_00365 1028307.EAE_23860 227 0 218 369
1028307.EAE_00365 1028307.EAE_07270 196 0 119 261
1028307.EAE_00365 1028307.EAE_06790 196 0 54 206
1028307.EAE_00365 1028307.EAE_05415 196 0 54 206
1028307.EAE_00365 1028307.EAE_22605 496 0 0 495
1028307.EAE_00365 1028307.EAE_23650 196 0 86 233
1028307.EAE_00365 1028307.EAE_17080 197 0 184 316
1028307.EAE_00365 1028307.EAE_02540 196 0 54 206
1028307.EAE_00365 1028307.EAE_03890 196 0 54 206
1028307.EAE_00365 1028307.EAE_01620 196 0 54 206
1028307.EAE_00365 1028307.EAE_23945 196 0 54 206
1028307.EAE_00365 1028307.EAE_14705 196 0 54 206
1028307.EAE_00365 1028307.EAE_05830 196 0 54 206
1028307.EAE_00365 1028307.EAE_08140 164 0 0 163
1028307.EAE_00365 1028307.EAE_15485 196 0 86 233
1028307.EAE_00365 1028307.EAE_02230 196 0 54 206
1028307.EAE_00365 1028307.EAE_13995 227 0 218 369
1028307.EAE_00365 1028307.EAE_02145 196 0 249 370
1028307.EAE_00365 1028307.EAE_20825 196 0 54 206
1028307.EAE_00365 1028307.EAE_22820 0 0 151 150
1028307.EAE_00365 1028307.EAE_24025 193 0 181 310
1028307.EAE_00365 1028307.EAE_18480 196 0 54 206
1028307.EAE_00365 1028307.EAE_07575 196 0 54 206
1028307.EAE_00365 1028307.EAE_08185 381 0 262 523
1028307.EAE_00365 1028307.EAE_21545 289 0 0 288
1028307.EAE_00365 1028307.EAE_24015 110 0 586 615
1028307.EAE_00365 1028307.EAE_23865 164 0 0 163
1028307.EAE_00365 1028307.EAE_17165 0 0 151 150
1028307.EAE_00365 1028307.EAE_11475 206 0 0 206
1028307.EAE_00365 1028307.EAE_02195 196 0 54 206
1028307.EAE_00365 1028307.EAE_20790 69 0 183 206
1028307.EAE_00365 1028307.EAE_18965 272 0 0 272
1028307.EAE_00365 1028307.EAE_02185 196 0 54 206
1028307.EAE_00365 1028307.EAE_17785 196 0 119 261
1028307.EAE_00365 1028307.EAE_10145 206 0 0 206
1028307.EAE_00365 1028307.EAE_20795 69 0 136 161
1028307.EAE_00370 1028307.EAE_24015 0 0 545 545
1028307.EAE_00370 1028307.EAE_00365 496 0 327 646
1028307.EAE_00370 1028307.EAE_20790 0 0 493 493
1028307.EAE_00370 1028307.EAE_15485 103 0 104 161
1028307.EAE_00370 1028307.EAE_24025 197 0 270 388
1028307.EAE_00370 1028307.EAE_09580 0 0 152 151
