protein1 protein2 experimental database textmining combined_score
573.JG24_00650 573.JG24_29275 195 0 0 195
573.JG24_00650 573.JG24_25370 168 0 0 167
573.JG24_00650 573.JG24_24485 195 0 0 195
573.JG24_00650 573.JG24_18410 195 0 0 195
573.JG24_00650 573.JG24_25195 195 0 0 195
573.JG24_00650 573.JG24_12520 195 0 0 195
573.JG24_00650 573.JG24_13195 195 0 0 195
573.JG24_00650 573.JG24_01700 195 0 0 195
573.JG24_00650 573.JG24_11720 195 0 0 195
573.JG24_00650 573.JG24_14195 195 0 0 195
573.JG24_00650 573.JG24_11750 195 0 0 195
573.JG24_00650 573.JG24_00340 195 0 0 195
573.JG24_00650 573.JG24_12960 195 0 0 195
573.JG24_00650 573.JG24_25520 168 0 0 167
573.JG24_00650 573.JG24_14190 168 0 0 167
573.JG24_00650 573.JG24_15390 195 0 0 195
573.JG24_00650 573.JG24_29120 195 0 0 195
573.JG24_00650 573.JG24_17125 195 0 0 195
573.JG24_00650 573.JG24_25860 195 0 0 195
573.JG24_00650 573.JG24_00645 168 0 0 167
573.JG24_00650 573.JG24_26965 195 0 0 195
573.JG24_00650 573.JG24_28390 195 0 0 195
573.JG24_00650 573.JG24_24035 195 0 0 195
573.JG24_00650 573.JG24_28230 195 0 0 195
573.JG24_00650 573.JG24_26430 195 0 0 195
573.JG24_00650 573.JG24_16315 168 0 0 167
573.JG24_00650 573.JG24_11760 195 0 0 195
573.JG24_00650 573.JG24_03355 168 0 0 167
573.JG24_00655 573.JG24_13205 128 87 0 169
573.JG24_00655 573.JG24_20310 128 163 0 238
573.JG24_00655 573.JG24_20320 121 87 0 163
573.JG24_00655 573.JG24_20270 121 87 0 163
573.JG24_00655 573.JG24_07335 128 163 0 238
573.JG24_00655 573.JG24_13000 128 87 0 169
573.JG24_00655 573.JG24_20300 128 87 0 169
573.JG24_00655 573.JG24_14490 128 87 0 169
573.JG24_00655 573.JG24_07340 121 87 0 163
573.JG24_00655 573.JG24_22715 128 87 0 169
573.JG24_00655 573.JG24_19310 128 87 0 169
573.JG24_00655 573.JG24_13215 128 87 0 169
573.JG24_00655 573.JG24_15485 128 87 0 169
573.JG24_00655 573.JG24_03550 121 87 0 163
573.JG24_00655 573.JG24_13995 121 87 0 163
573.JG24_00655 573.JG24_18380 155 0 0 154
573.JG24_00655 573.JG24_07905 128 87 0 169
573.JG24_00655 573.JG24_12720 121 87 0 163
573.JG24_00655 573.JG24_14475 121 87 0 163
573.JG24_00655 573.JG24_14480 121 87 0 163
573.JG24_00655 573.JG24_13960 121 87 0 163
573.JG24_00655 573.JG24_16300 128 87 0 169
573.JG24_00655 573.JG24_15085 121 87 0 163
573.JG24_00655 573.JG24_12400 121 87 0 163
573.JG24_00655 573.JG24_09850 121 87 0 163
573.JG24_00660 573.JG24_05435 0 0 377 377
573.JG24_00660 573.JG24_22980 68 0 206 228
573.JG24_00660 573.JG24_23375 304 0 0 304
573.JG24_00660 573.JG24_09885 84 0 206 241
573.JG24_00660 573.JG24_18990 137 0 206 285
573.JG24_00660 573.JG24_26815 322 0 0 321
573.JG24_00660 573.JG24_26820 335 0 0 335
573.JG24_00660 573.JG24_18995 341 0 204 453
573.JG24_00660 573.JG24_24985 304 0 0 304
573.JG24_00660 573.JG24_13255 0 0 180 179
573.JG24_00660 573.JG24_16490 182 0 92 225
573.JG24_00660 573.JG24_22255 68 0 206 228
573.JG24_00660 573.JG24_17650 0 0 201 201
573.JG24_00660 573.JG24_27485 0 0 222 222
573.JG24_00670 573.JG24_01170 138 113 59 217
573.JG24_00670 573.JG24_24390 138 113 59 217
573.JG24_00670 573.JG24_29515 156 0 58 170
573.JG24_00670 573.JG24_18930 154 0 0 153
