protein1 protein2 experimental database textmining combined_score
1280.SAXN108_0008 1280.SAXN108_1818 167 0 0 167
1280.SAXN108_0008 1280.SAXN108_1479 0 0 415 414
1280.SAXN108_0008 1280.SAXN108_2988 187 0 0 187
1280.SAXN108_0008 1280.SAXN108_2495 186 0 0 186
1280.SAXN108_0008 1280.SAXN108_2150 0 0 298 298
1280.SAXN108_0008 1280.SAXN108_1280 163 0 83 199
1280.SAXN108_0008 1280.SAXN108_0551 0 0 183 183
1280.SAXN108_0008 1280.SAXN108_1370 363 0 221 482
1280.SAXN108_0008 1280.SAXN108_1771 163 0 83 199
1280.SAXN108_0008 1280.SAXN108_1238 167 0 0 167
1280.SAXN108_0009 1280.SAXN108_1132 164 0 0 163
1280.SAXN108_0009 1280.SAXN108_0585 164 0 0 163
1280.SAXN108_0009 1280.SAXN108_1081 156 0 0 155
1280.SAXN108_0009 1280.SAXN108_2295 165 0 0 165
1280.SAXN108_0010 1280.SAXN108_0958 187 0 0 187
1280.SAXN108_0011 1280.SAXN108_2830 183 0 0 183
1280.SAXN108_0011 1280.SAXN108_2525 173 0 0 173
1280.SAXN108_0011 1280.SAXN108_2302 214 0 0 214
1280.SAXN108_0011 1280.SAXN108_0289 182 0 0 181
1280.SAXN108_0011 1280.SAXN108_0673 201 0 526 605
1280.SAXN108_0011 1280.SAXN108_0929 489 0 0 489
1280.SAXN108_0011 1280.SAXN108_2871 226 0 0 225
1280.SAXN108_0011 1280.SAXN108_1606 171 0 0 171
1280.SAXN108_0011 1280.SAXN108_0305 175 0 0 175
1280.SAXN108_0011 1280.SAXN108_0843 273 0 0 273
1280.SAXN108_0011 1280.SAXN108_1232 489 0 0 489
1280.SAXN108_0011 1280.SAXN108_0992 156 0 0 155
1280.SAXN108_0011 1280.SAXN108_2831 183 0 0 183
1280.SAXN108_0011 1280.SAXN108_0844 187 0 0 187
1280.SAXN108_0011 1280.SAXN108_1041 183 0 0 183
1280.SAXN108_0011 1280.SAXN108_0583 201 0 0 201
1280.SAXN108_0011 1280.SAXN108_0306 175 0 0 175
1280.SAXN108_0011 1280.SAXN108_1761 279 0 0 279
1280.SAXN108_0011 1280.SAXN108_0602 151 0 0 150
1280.SAXN108_0011 1280.SAXN108_2301 214 0 0 214
1280.SAXN108_0011 1280.SAXN108_2944 175 0 0 175
1280.SAXN108_0011 1280.SAXN108_0081 184 0 0 183
1280.SAXN108_0011 1280.SAXN108_1042 183 0 0 183
1280.SAXN108_0011 1280.SAXN108_2658 182 0 0 181
1280.SAXN108_0011 1280.SAXN108_0219 226 0 0 225
1280.SAXN108_0011 1280.SAXN108_2121 163 0 0 163
1280.SAXN108_0011 1280.SAXN108_1709 162 0 0 161
1280.SAXN108_0011 1280.SAXN108_2943 175 0 0 175
1280.SAXN108_0011 1280.SAXN108_1267 222 0 0 222
1280.SAXN108_0017 1280.SAXN108_1236 365 0 0 365
1280.SAXN108_0017 1280.SAXN108_2992 876 0 0 876
1280.SAXN108_0017 1280.SAXN108_1270 361 0 0 361
1280.SAXN108_0017 1280.SAXN108_2488 876 716 0 963
1280.SAXN108_0017 1280.SAXN108_1706 876 0 0 876
1280.SAXN108_0017 1280.SAXN108_0447 446 122 0 492
1280.SAXN108_0017 1280.SAXN108_1224 876 0 0 876
1280.SAXN108_0017 1280.SAXN108_1232 279 0 0 279
1280.SAXN108_0017 1280.SAXN108_1017 361 153 0 435
1280.SAXN108_0017 1280.SAXN108_2365 876 0 0 876
1280.SAXN108_0017 1280.SAXN108_1242 876 979 0 997
1280.SAXN108_0017 1280.SAXN108_1238 361 0 0 361
1280.SAXN108_0017 1280.SAXN108_0849 719 0 0 719
1280.SAXN108_0017 1280.SAXN108_1214 319 0 0 319
1280.SAXN108_0017 1280.SAXN108_2493 876 0 0 876
1280.SAXN108_0017 1280.SAXN108_2499 876 729 0 964
1280.SAXN108_0017 1280.SAXN108_1352 469 198 0 555
1280.SAXN108_0017 1280.SAXN108_0846 361 0 0 361
1280.SAXN108_0017 1280.SAXN108_1748 876 0 0 876
1280.SAXN108_0017 1280.SAXN108_2480 319 0 0 319
1280.SAXN108_0017 1280.SAXN108_0446 446 122 0 492
1280.SAXN108_0017 1280.SAXN108_2498 876 642 0 953
1280.SAXN108_0017 1280.SAXN108_0600 876 153 0 890
1280.SAXN108_0017 1280.SAXN108_0208 235 0 0 235
1280.SAXN108_0017 1280.SAXN108_0820 319 0 0 319
1280.SAXN108_0017 1280.SAXN108_0415 876 153 0 890
1280.SAXN108_0017 1280.SAXN108_0417 876 0 0 876
1280.SAXN108_0017 1280.SAXN108_1353 876 146 0 889
1280.SAXN108_0017 1280.SAXN108_0589 361 0 0 361
1280.SAXN108_0017 1280.SAXN108_0597 361 0 0 361
1280.SAXN108_0017 1280.SAXN108_1671 361 0 0 361
1280.SAXN108_0017 1280.SAXN108_2484 876 0 0 876
1280.SAXN108_0017 1280.SAXN108_0591 876 747 0 967
1280.SAXN108_0017 1280.SAXN108_2495 876 0 0 876
1280.SAXN108_0017 1280.SAXN108_2497 876 0 0 876
1280.SAXN108_0017 1280.SAXN108_1611 876 0 0 876
1280.SAXN108_0017 1280.SAXN108_2494 876 645 0 954
1280.SAXN108_0017 1280.SAXN108_2467 876 153 0 890
1280.SAXN108_0017 1280.SAXN108_0599 876 153 0 890
1280.SAXN108_0017 1280.SAXN108_1661 319 0 0 319
1280.SAXN108_0017 1280.SAXN108_2482 876 0 0 876
1280.SAXN108_0017 1280.SAXN108_1610 363 0 0 363
1280.SAXN108_0017 1280.SAXN108_2491 876 0 0 876
1280.SAXN108_0017 1280.SAXN108_2476 876 0 0 876
1280.SAXN108_0017 1280.SAXN108_1261 719 153 0 751
1280.SAXN108_0017 1280.SAXN108_2483 876 146 0 889
1280.SAXN108_0017 1280.SAXN108_2473 876 979 0 997
1280.SAXN108_0017 1280.SAXN108_0588 469 198 0 555
1280.SAXN108_0017 1280.SAXN108_1123 876 979 0 997
1280.SAXN108_0017 1280.SAXN108_2496 876 814 0 975
1280.SAXN108_0017 1280.SAXN108_0602 525 0 0 525
1280.SAXN108_0017 1280.SAXN108_1552 719 0 0 719
1280.SAXN108_0017 1280.SAXN108_2486 876 0 0 876
1280.SAXN108_0017 1280.SAXN108_0821 614 904 0 961
1280.SAXN108_0017 1280.SAXN108_0596 361 0 0 361
1280.SAXN108_0017 1280.SAXN108_1573 469 198 0 555
1280.SAXN108_0017 1280.SAXN108_0819 832 0 0 832
1280.SAXN108_0017 1280.SAXN108_1600 871 0 0 871
1280.SAXN108_0017 1280.SAXN108_0553 876 0 0 876
1280.SAXN108_0017 1280.SAXN108_2924 319 0 0 319
1280.SAXN108_0017 1280.SAXN108_2350 257 0 0 256
1280.SAXN108_0017 1280.SAXN108_1239 876 153 0 890
1280.SAXN108_0017 1280.SAXN108_2492 876 836 0 978
1280.SAXN108_0017 1280.SAXN108_2490 876 0 0 876
1280.SAXN108_0017 1280.SAXN108_0594 796 832 0 964
1280.SAXN108_0017 1280.SAXN108_1672 876 537 0 940
1280.SAXN108_0017 1280.SAXN108_0590 319 0 0 319
1280.SAXN108_0017 1280.SAXN108_2363 719 153 0 751
1280.SAXN108_0017 1280.SAXN108_2500 876 146 0 889
1280.SAXN108_0017 1280.SAXN108_1258 876 0 0 876
1280.SAXN108_0017 1280.SAXN108_1311 361 0 0 361
1280.SAXN108_0017 1280.SAXN108_1705 876 349 0 915
1280.SAXN108_0017 1280.SAXN108_2489 876 0 0 876
1280.SAXN108_0017 1280.SAXN108_1305 160 0 0 159
1280.SAXN108_0017 1280.SAXN108_1496 361 0 0 361
1280.SAXN108_0017 1280.SAXN108_0929 279 0 0 279
1280.SAXN108_0017 1280.SAXN108_0601 446 122 0 492
1280.SAXN108_0017 1280.SAXN108_2920 319 0 0 319
1280.SAXN108_0017 1280.SAXN108_2468 876 729 0 964
1280.SAXN108_0017 1280.SAXN108_1617 312 0 0 311
1280.SAXN108_0017 1280.SAXN108_1209 361 0 0 361
1280.SAXN108_0017 1280.SAXN108_1709 384 758 0 844
1280.SAXN108_0017 1280.SAXN108_1182 361 0 0 361
1280.SAXN108_0017 1280.SAXN108_0592 811 317 0 865
1280.SAXN108_0017 1280.SAXN108_2474 376 0 0 376
1280.SAXN108_0017 1280.SAXN108_2475 876 146 0 889
1280.SAXN108_0017 1280.SAXN108_1674 876 904 0 987
1280.SAXN108_0017 1280.SAXN108_0593 876 0 0 876
1280.SAXN108_0017 1280.SAXN108_1497 361 0 0 361
1280.SAXN108_0017 1280.SAXN108_1277 876 0 0 876
1280.SAXN108_0017 1280.SAXN108_1273 361 0 0 361
1280.SAXN108_0017 1280.SAXN108_1087 319 0 0 319
1280.SAXN108_0017 1280.SAXN108_2481 876 700 0 961
1280.SAXN108_0017 1280.SAXN108_2487 876 0 0 876
1280.SAXN108_0017 1280.SAXN108_2477 876 758 0 968
1280.SAXN108_0017 1280.SAXN108_0974 383 953 0 969
1280.SAXN108_0017 1280.SAXN108_2485 876 0 0 876
1280.SAXN108_0017 1280.SAXN108_1233 377 602 0 741
1280.SAXN108_0018 1280.SAXN108_0447 162 0 0 161
1280.SAXN108_0018 1280.SAXN108_2496 177 0 0 177
1280.SAXN108_0018 1280.SAXN108_0602 183 0 0 183
