protein1 protein2 experimental database textmining combined_score
565664.EFXG_00006 565664.EFXG_01844 216 0 0 216
565664.EFXG_00006 565664.EFXG_01495 159 0 0 158
565664.EFXG_00006 565664.EFXG_01383 159 0 0 158
565664.EFXG_00006 565664.EFXG_02414 189 0 0 189
565664.EFXG_00008 565664.EFXG_02160 161 0 0 161
565664.EFXG_00008 565664.EFXG_00956 160 0 0 159
565664.EFXG_00008 565664.EFXG_00057 160 0 0 159
565664.EFXG_00008 565664.EFXG_02335 161 0 0 161
565664.EFXG_00008 565664.EFXG_02054 160 0 0 159
565664.EFXG_00008 565664.EFXG_02777 376 0 312 552
565664.EFXG_00008 565664.EFXG_01639 160 0 0 159
565664.EFXG_00008 565664.EFXG_00166 161 0 0 161
565664.EFXG_00008 565664.EFXG_03862 173 0 0 173
565664.EFXG_00008 565664.EFXG_02690 161 0 0 161
565664.EFXG_00008 565664.EFXG_01221 161 0 0 161
565664.EFXG_00008 565664.EFXG_00018 0 0 777 777
565664.EFXG_00008 565664.EFXG_01733 160 0 0 159
565664.EFXG_00008 565664.EFXG_00681 0 0 255 254
565664.EFXG_00008 565664.EFXG_01918 0 0 160 159
565664.EFXG_00008 565664.EFXG_02237 161 0 0 161
565664.EFXG_00008 565664.EFXG_03861 173 0 0 173
565664.EFXG_00008 565664.EFXG_01109 241 0 760 810
565664.EFXG_00008 565664.EFXG_00009 376 0 312 552
565664.EFXG_00008 565664.EFXG_02381 160 0 0 159
565664.EFXG_00008 565664.EFXG_00130 204 0 0 204
565664.EFXG_00008 565664.EFXG_00327 161 0 0 161
565664.EFXG_00008 565664.EFXG_02414 160 0 0 159
565664.EFXG_00008 565664.EFXG_01417 161 0 0 161
565664.EFXG_00008 565664.EFXG_02198 161 0 0 161
565664.EFXG_00008 565664.EFXG_01198 160 0 0 159
565664.EFXG_00008 565664.EFXG_00370 160 0 0 159
565664.EFXG_00008 565664.EFXG_00749 160 0 0 159
565664.EFXG_00008 565664.EFXG_01365 216 0 0 216
565664.EFXG_00008 565664.EFXG_02368 160 0 0 159
565664.EFXG_00008 565664.EFXG_00845 161 0 0 161
565664.EFXG_00008 565664.EFXG_02525 376 0 312 552
565664.EFXG_00008 565664.EFXG_00523 160 0 0 159
565664.EFXG_00008 565664.EFXG_01114 0 0 675 675
565664.EFXG_00008 565664.EFXG_02027 161 0 0 161
565664.EFXG_00008 565664.EFXG_00333 160 0 0 159
565664.EFXG_00008 565664.EFXG_02041 160 0 0 159
565664.EFXG_00009 565664.EFXG_00018 266 0 312 473
565664.EFXG_00009 565664.EFXG_01109 0 0 270 270
565664.EFXG_00009 565664.EFXG_00004 159 0 0 158
565664.EFXG_00009 565664.EFXG_00008 376 0 312 552
565664.EFXG_00010 565664.EFXG_01105 158 0 0 157
565664.EFXG_00010 565664.EFXG_00647 186 0 0 186
565664.EFXG_00010 565664.EFXG_01343 157 0 0 156
565664.EFXG_00010 565664.EFXG_00502 159 0 0 158
565664.EFXG_00010 565664.EFXG_01890 156 0 0 155
565664.EFXG_00010 565664.EFXG_01443 157 0 0 156
565664.EFXG_00010 565664.EFXG_01057 0 0 765 765
565664.EFXG_00010 565664.EFXG_01706 155 0 0 154
565664.EFXG_00010 565664.EFXG_00023 259 0 0 258
565664.EFXG_00010 565664.EFXG_00514 259 0 0 258
565664.EFXG_00010 565664.EFXG_02080 158 0 0 157
565664.EFXG_00011 565664.EFXG_02381 165 0 0 165
565664.EFXG_00011 565664.EFXG_00012 335 0 814 871
565664.EFXG_00011 565664.EFXG_01291 158 0 0 157
565664.EFXG_00011 565664.EFXG_01733 165 0 0 165
565664.EFXG_00011 565664.EFXG_01639 165 0 0 165
565664.EFXG_00011 565664.EFXG_00956 165 0 0 165
565664.EFXG_00011 565664.EFXG_02202 0 0 701 701
565664.EFXG_00011 565664.EFXG_02054 165 0 0 165
565664.EFXG_00011 565664.EFXG_00057 189 0 0 189
565664.EFXG_00011 565664.EFXG_01687 170 0 0 169
565664.EFXG_00011 565664.EFXG_00523 165 0 0 165
565664.EFXG_00011 565664.EFXG_00333 165 0 0 165
565664.EFXG_00011 565664.EFXG_02041 165 0 0 165
565664.EFXG_00011 565664.EFXG_00749 208 0 0 208
565664.EFXG_00011 565664.EFXG_00370 165 0 0 165
565664.EFXG_00011 565664.EFXG_02368 165 0 0 165
